city,state,total_e2w_ev
Palwal,Hr:Haryana,1454
Bhind ,Mp:Madhya Pradesh,1454
Shahjahanpur,Up:Uttar Pradesh,1452
Khandwa,Mp:Madhya Pradesh,1431
Unnao,Up:Uttar Pradesh,1425
Yadagiri,Ka:Karnataka,1420
Jalaun,Up:Uttar Pradesh,1411
Lakhimpur Khiri,Up:Uttar Pradesh,1408
Chapara,Br:Bihar,1400
Banswara,Rj:Rajasthan,1396
Sultanpur,Up:Uttar Pradesh,1387
Sitapur,Up:Uttar Pradesh,1385
Balotra,Rj:Rajasthan,1380
 Devbhoomi Dwarka,Gj:Gujarat,1378
Bhadohi,Up:Uttar Pradesh,1377
Nagamangala,Ka:Karnataka,1368
Batala,Pb:Punjab,1368
Barnala,Pb:Punjab,1352
Cudalore,Tn:Tamil Nadu,1348
Adoor,Kl:Kerala,1313
Cooch Behar,Wb:West Bengal,1306
Kathua,Jk:Jammund Kashmir,1299
Dahod,Gj:Gujarat,1294
Bokaro,Jh:Jharkhand,1291
A Khragpur,Wb:West Bengal,1286
Bahraich,Up:Uttar Pradesh,1283
Kaithal,Hr:Haryana,1275
Surajpur,Cg:Chattisgarh,1267
Hoshiarpur,Pb:Punjab,1255
Jyotibaphule Nagar,Up:Uttar Pradesh,1237
Katihar,Br:Bihar,1230
Bhagalpur,Br:Bihar,1213
Badaun,Up:Uttar Pradesh,1211
Abohar,Pb:Punjab,1201
Mansa,Pb:Punjab,1190
Kunnathur,Kl:Kerala,1185
Giridih,Jh:Jharkhand,1185
Karaikal,Py:Pondicherry,1180
Mahasamund,Cg:Chattisgarh,1177
Ramanathapuram,Tn:Tamil Nadu,1156
A Diamond Harbour,Wb:West Bengal,1148
Cormondal,Ka:Karnataka,1147
Swaimadhopur,Rj:Rajasthan,1144
Jalore,Rj:Rajasthan,1142
Etah,Up:Uttar Pradesh,1131
Kothamangalam,Kl:Kerala,1110
Sonbhadra,Up:Uttar Pradesh,1104
Perambalur,Tn:Tamil Nadu,1103
Bhiwani,Hr:Haryana,1089
Shajapur ,Mp:Madhya Pradesh,1082
Bahadurgarh,Hr:Haryana,1082
Aurangabad,Br:Bihar,1073
Pratapgarh,Rj:Rajasthan,1068
Porbandar,Gj:Gujarat,1068
Birbhum,Wb:West Bengal,1064
Badwani ,Mp:Madhya Pradesh,1063
Bemetara,Cg:Chattisgarh,1047
Amreli,Gj:Gujarat,1037
Pathankot,Pb:Punjab,1033
Kotputali,Rj:Rajasthan,1032
Ferozepur,Pb:Punjab,1029
Kapurthala,Pb:Punjab,1028
Ambedkar Nagar,Up:Uttar Pradesh,1027
Madhubani,Br:Bihar,1017
Sasnagar,Pb:Punjab,1007
Dholpur,Rj:Rajasthan,1000
Pala,Kl:Kerala,996
Palamu,Jh:Jharkhand,992
Fatehpur,Up:Uttar Pradesh,981
Balod,Cg:Chattisgarh,975
Gadchiroli,Mh:Maharashtra,974
D T O Ramgarh,Jh:Jharkhand,967
Ambala,Hr:Haryana,962
Sulthanbathery,Kl:Kerala,952
Jhajjar,Hr:Haryana,950
Bankura,Wb:West Bengal,949
Baghpat,Up:Uttar Pradesh,947
Bhinmal,Rj:Rajasthan,943
Thodupuzha,Kl:Kerala,937
A Uluberia,Wb:West Bengal,930
Siddharthnagar,Up:Uttar Pradesh,929
Dudu,Rj:Rajasthan,915
Amethi,Up:Uttar Pradesh,905
Wayanad,Kl:Kerala,905
Karwar,Ka:Karnataka,889
Sambhal,Up:Uttar Pradesh,882
Nagaon,As:Assam,878
Punalur,Kl:Kerala,876
Madeikeri,Ka:Karnataka,870
Chengannur,Kl:Kerala,869
Gopalganj,Br:Bihar,862
Lalitpur,Up:Uttar Pradesh,855
Farrukhabad,Up:Uttar Pradesh,853
Pataudi,Hr:Haryana,850
Pathanamthitta,Kl:Kerala,845
A Basirhat,Wb:West Bengal,844
rvalli,Gj:Gujarat,839
Rampur,Up:Uttar Pradesh,835
Jashpur,Cg:Chattisgarh,822
Kurukshetra,Hr:Haryana,821
Fazilka,Pb:Punjab,818
Vyara,Gj:Gujarat,817
Sujangarh,Rj:Rajasthan,815
Dibrugarh,As:Assam,812
Thiruvalla,Kl:Kerala,812
Jaisalmer,Rj:Rajasthan,811
Kanker,Cg:Chattisgarh,810
Agala,Tr:Tripura,800
Hardoi,Up:Uttar Pradesh,798
Baikunthpur,Cg:Chattisgarh,797
Koderma,Jh:Jharkhand,784
Sidhi ,Mp:Madhya Pradesh,783
Malda,Wb:West Bengal,776
Jhabua ,Mp:Madhya Pradesh,755
Sheopur ,Mp:Madhya Pradesh,753
Kannauj,Up:Uttar Pradesh,751
Panchkula,Hr:Haryana,748
Hunsur,Ka:Karnataka,745
Kuttanadu,Kl:Kerala,743
Purulia,Wb:West Bengal,733
Kaushambi,Up:Uttar Pradesh,729
A Serampore,Wb:West Bengal,717
Narnaul,Hr:Haryana,707
Falodi,Rj:Rajasthan,706
Malerkotla,Pb:Punjab,698
Kanjirappally,Kl:Kerala,697
Derabassi,Pb:Punjab,696
Mungeli,Cg:Chattisgarh,682
Canacona,Ga:Goa,669
Uzhavoor,Kl:Kerala,662
Jalpaiguri,Wb:West Bengal,657
Indiri,Hr:Haryana,649
A Samba,Jk:Jammund Kashmir,648
Buxur,Br:Bihar,641
Gohana,Hr:Haryana,633
Una,Hp:Himachal Pradesh,630
Sant Kabir Nagar,Up:Uttar Pradesh,625
Kekri,Rj:Rajasthan,614
Auraiya,Up:Uttar Pradesh,614
Nokha,Rj:Rajasthan,609
Jaumui,Br:Bihar,603
Dumka,Jh:Jharkhand,597
Rajpura,Pb:Punjab,596
A Rampurhat,Wb:West Bengal,589
Basavakalyan,Ka:Karnataka,586
Kanpur Dehat,Up:Uttar Pradesh,577
A Jhargram,Wb:West Bengal,569
Imphal,Mn:Manipur,566
Jind,Hr:Haryana,562
Moga,Pb:Punjab,555
Ararea,Br:Bihar,555
Sirsa,Hr:Haryana,552
Raigunj,Wb:West Bengal,549
Mananthavady,Kl:Kerala,543
A Kalyani,Wb:West Bengal,543
Pilibhit,Up:Uttar Pradesh,537
Charkhi Dadri,Hr:Haryana,531
Mahoba,Up:Uttar Pradesh,527
Kharar,Pb:Punjab,517
Nawadah,Br:Bihar,517
Jorhat,As:Assam,514
Balughat,Wb:West Bengal,505
Datia ,Mp:Madhya Pradesh,486
Shillong,Ml:Meghalaya,483
Jehanabad,Br:Bihar,483
Bilaspur,Hr:Haryana,480
Lakhimpur,As:Assam,473
 Botad,Gj:Gujarat,467
Nohar,Rj:Rajasthan,463
Bhabhua,Br:Bihar,463
Kanshiram Nagar,Up:Uttar Pradesh,460
Khanna,Pb:Punjab,457
Bhalki,Ka:Karnataka,457
A Bolpur,Wb:West Bengal,456
Bailahongala,Ka:Karnataka,454
Jalalabad,Pb:Punjab,448
Samalkha,Hr:Haryana,447
Faridkot,Pb:Punjab,446
Fetehabad,Hr:Haryana,440
Supaul,Br:Bihar,436
Amloh,Pb:Punjab,435
Jamtara,Jh:Jharkhand,426
Karoli,Rj:Rajasthan,416
Ramganjmandi,Rj:Rajasthan,414
Banda,Up:Uttar Pradesh,406
Alipurduar,Wb:West Bengal,402
Sonitpur,As:Assam,402
Mallappally,Kl:Kerala,401
Fatehgarh Sahib,Pb:Punjab,396
Dharbandora,Ga:Goa,395
Ranni,Kl:Kerala,395
A Dandeli,Ka:Karnataka,395
A Raghunathpur,Wb:West Bengal,385
Munger,Br:Bihar,380
Ropar,Pb:Punjab,376
Balrampur,Up:Uttar Pradesh,374
Sheohar,Br:Bihar,374
Muktsar,Pb:Punjab,369
Udumbanchola,Kl:Kerala,367
Sivsagar,As:Assam,355
Mohindergarh,Hr:Haryana,354
Panna ,Mp:Madhya Pradesh,353
Madhepura,Br:Bihar,348
Bawal,Hr:Haryana,348
Budhlada,Pb:Punjab,347
Palampur,Hp:Himachal Pradesh,344
Naraingarh,Hr:Haryana,343
Hamirpur,Up:Uttar Pradesh,342
Barpeta,As:Assam,340
Narmada,Gj:Gujarat,337
Hansi,Hr:Haryana,335
Hodel,Hr:Haryana,330
Phagwara,Pb:Punjab,330
Darrang,As:Assam,330
Ajnala,Pb:Punjab,330
Banka,Br:Bihar,328
Shahabad,Hr:Haryana,326
Assandh,Hr:Haryana,325
 Chhotaudaipur,Gj:Gujarat,324
Udhampur,Jk:Jammund Kashmir,323
Abu Road,Rj:Rajasthan,323
 Mahisagar,Gj:Gujarat,320
Nalagarh,Hp:Himachal Pradesh,319
Idukki,Kl:Kerala,318
Beri,Hr:Haryana,314
A Jangipur,Wb:West Bengal,314
Kondagaon,Cg:Chattisgarh,313
A Kalna,Wb:West Bengal,303
Sakaleshpura,Ka:Karnataka,301
Kishanganj,Br:Bihar,291
Shravasti,Up:Uttar Pradesh,290
Samana,Pb:Punjab,275
Narwana,Hr:Haryana,275
A Bongaon,Wb:West Bengal,270
A Bishnupur,Wb:West Bengal,270
Khagaria,Br:Bihar,263
Ooty,Tn:Tamil Nadu,261
Pehowa,Hr:Haryana,258
Tinsukia,As:Assam,257
Kharkhonda,Hr:Haryana,254
Chitrakoot Dham,Up:Uttar Pradesh,254
Safidon,Hr:Haryana,249
Balrampur,Cg:Chattisgarh,249
Vandiperiyar,Kl:Kerala,245
Devikulam,Kl:Kerala,245
Malout,Pb:Punjab,243
Daman,Dd:Damannd Diu,240
Mandi Sadar,Hp:Himachal Pradesh,235
Barara,Hr:Haryana,231
Ganaur,Hr:Haryana,231
Jagraon,Pb:Punjab,231
Pauri,Uk:Uttarakhand,224
Golaghat,As:Assam,222
Umaria ,Mp:Madhya Pradesh,221
Meham,Hr:Haryana,221
Kosli,Hr:Haryana,214
Kalka,Hr:Haryana,207
Nabha,Pb:Punjab,206
Nawanshahar,Pb:Punjab,205
Kangra,Hp:Himachal Pradesh,204
Chaibasa,Jh:Jharkhand,199
Tripura Dharmanagar,Tr:Tripura,195
Bongaigaon,As:Assam,195
Dhuri,Pb:Punjab,191
Barwala,Hr:Haryana,189
Karimganj,As:Assam,187
Samrala,Pb:Punjab,184
Rajouri,Jk:Jammund Kashmir,183
Rla Haroli,Hp:Himachal Pradesh,182
Guhla,Hr:Haryana,181
Ellenabad,Hr:Haryana,180
Lohardaga,Jh:Jharkhand,175
Dantewada,Cg:Chattisgarh,174
Arawal,Br:Bihar,172
Kalayat,Hr:Haryana,172
Gumla,Jh:Jharkhand,167
Nuh,Hr:Haryana,167
Kanina,Hr:Haryana,165
Lakhisarai,Br:Bihar,165
Godda,Jh:Jharkhand,164
Hathin,Hr:Haryana,164
Gariyaband,Cg:Chattisgarh,164
Baramulla,Jk:Jammund Kashmir,160
Sheikhpura,Br:Bihar,160
Unit Office Mahe,Py:Pondicherry,160
Rohru,Hp:Himachal Pradesh,160
